fraction,payload_bytes,payload_bits,psnr_db,mse,rmse,ssim,capacity_bpp
0.1,16625,133000,47.328398423090505,1.2029304504394531,1.09678186091832,0.9951816653975184,0.507354736328125
0.25,41564,332512,42.40672155888694,3.736011505126953,1.9328764847053608,0.9870807543727924,1.2684326171875
0.5,83129,665032,38.887181687306466,8.401603698730469,2.8985520003495657,0.9705290662133444,2.536895751953125
0.75,124694,997552,33.78607954201184,27.19395701090495,5.2147825468474664,0.9303347097191056,3.80535888671875
1.0,166259,1330072,31.590483569196003,45.08499272664388,6.71453592786902,0.8990791165384145,5.073822021484375
